X1,X2,X3,Y
4.0089,3.7341,3.3417,C1
3.5429,3.2322,3.5537,C1
3.065,2.2002,3.7571,C1
3.3045,2.9389,4.5176,C1
2.3968,3.1281,2.7228,C1
4.4689,2.5175,2.881,C1
3.0511,2.7084,3.5333,C1
4.5563,3.3596,3.8469,C1
3.2287,4.3491,2.0341,C1
3.7549,0.8832,2.5237,C1
1.7476,2.0489,3.0345,C1
2.3928,3.9722,0.8498,C1
4.0791,3.5037,4.0034,C1
2.4466,2.765,2.1112,C1
3.5,3.3587,3.9989,C1
2.6882,2.1532,2.3189,C1
2.8826,2.1154,3.5498,C1
1.8314,3.2751,3.7105,C1
1.8998,4.313,2.8476,C1
3.8527,3.649,3.4871,C1
2.9611,2.5603,2.8896,C1
2.3081,3.7667,3.4799,C1
2.3373,2.7851,2.0497,C1
3.7463,2.371,2.3667,C1
2.9513,2.6146,4.2165,C1
3.4447,2.4692,2.4629,C1
3.3435,2.8189,3.2054,C1
3.6549,3.4868,1.6258,C1
3.3468,2.0786,2.6523,C1
1.8383,3.3045,2.3326,C1
3.3248,3.9812,2.7725,C1
3.9744,3.1299,3.8457,C1
3.631,3.6089,3.8468,C1
0.9411,2.9546,4.0133,C1
2.7629,4.7481,3.138,C1
2.7203,3.8003,3.4326,C1
3.2754,1.4289,2.086,C1
2.5573,3.0303,2.6096,C1
2.9982,1.4343,4.1002,C1
4.3913,3.8904,3.7783,C1
1.3799,-0.2313,-0.5149,C2
-0.0802,0.2301,0.1128,C2
1.2812,0.8445,0.0303,C2
1.3378,1.4091,-0.541,C2
0.6491,0.2049,-0.4675,C2
1.2532,0.7912,1.6281,C2
3.2221,0.3083,-0.8694,C2
0.6035,0.5144,-0.4308,C2
-0.395,-0.5326,-1.3028,C2
-1.3119,0.386,-0.0827,C2
0.3421,1.7882,0.3436,C2
0.4157,-0.2247,-0.4565,C2
-0.0147,-0.6267,0.2984,C2
2.7606,1.8632,-0.6264,C2
1.8387,1.5098,1.0983,C2
1.5805,1.1811,-0.0271,C2
1.3639,-0.7658,0.674,C2
-1.4879,1.8462,1.8884,C2
2.46,-0.0175,0.3792,C2
1.0242,-0.5484,1.1547,C2
0.2188,-0.1085,0.2174,C2
-0.7782,0.8087,-0.2689,C2
1.0772,1.0652,-0.7993,C2
2.8075,0.6868,-0.3332,C2
1.3162,0.2715,1.003,C2
1.7327,2.061,0.7469,C2
0.8402,-0.0568,-0.8961,C2
1.8926,0.5949,-0.1669,C2
-0.323,-0.1227,-1.1256,C2
1.8357,0.8643,0.2655,C2
1.4557,-1.1724,0.8392,C2
0.8403,1.0718,-0.6472,C2
1.1722,-0.4548,-2.4214,C2
2.3774,0.4108,0.6034,C2
1.0279,-0.4178,2.7773,C2
1.77,-0.5726,0.4642,C2
-0.1251,-1.1361,0.2585,C2
2.0241,-0.3431,0.246,C2
2.574,0.6837,0.8311,C2
0.494,0.9273,1.8079,C2
0.1247,1.8399,1.3204,C2
0.1682,1.0585,-0.1691,C2
1.5986,-1.3605,0.0149,C2
0.343,-0.391,0.2133,C2
0.916,0.3774,-0.74,C2
-0.2185,-1.6882,1.0027,C2
1.8927,0.229,0.1402,C2
0.3419,-0.0141,1.3485,C2
1.757,0.7878,-0.1676,C2
1.6592,0.984,1.4301,C2
0.8563,1.2793,-1.6444,C2
1.2606,0.326,1.5784,C2
0.7207,0.2976,-1.315,C2
0.6809,1.7557,-0.9103,C2
1.9941,2.0901,0.0432,C2
1.0359,0.1684,-1.2598,C2
0.0491,0.6343,0.404,C2
2.3568,-0.3354,0.4724,C2
0.092,0.5336,1.1434,C2
1.3661,1.1629,-0.3503,C2
